連番,カテゴリ,団体正式名称,所在地,9/10(木),9/11(金),9/12(土),9/13(日),備考
1,米沢織,株式会社 安部吉,,?,?,?,?,住所記載なし; 開催日記載なし
2,米沢織,粟野商事株式会社 / JUYOUKAN,中央1-7-32,○,○,○,○,
3,米沢織,株式会社キハラ,,?,?,?,?,住所記載なし; 開催日記載なし
4,米沢織,近賢織物有限会社,城南3-1-48,○,○,○,-,
5,米沢織,株式会社シルキーリビング,直江町6-12,○,○,○,○,
6,米沢織,染織工房わくわく舘／齋英織物,御廟1-2-37,○,○,○,○,
7,米沢織,東北整練株式会社,,?,?,?,?,住所記載なし; 開催日記載なし
8,米沢織,行方織物有限会社,松が岬2丁目4-8,○,○,○,-,
9,米沢織,株式会社パルコモード,,?,?,?,?,住所記載なし; 開催日記載なし
10,米沢織,株式会社 nitorito,,?,?,?,?,住所記載なし; 開催日記載なし
11,米沢織,山口織物鷹山堂有限会社,,?,?,?,?,住所記載なし; 開催日記載なし
12,米沢織,米沢織物直売所おりじん,本町1-5-21-1階,?,?,?,?,開催日記載なし
13,米沢織,よねざわ新田（株式会社 新田）,松が岬2-3-36,○,○,○,○,
14,発酵・醸造,香坂酒造株式会社,,?,?,?,?,住所記載なし; 開催日記載なし
15,発酵・醸造,株式会社小嶋総本店,,?,?,?,?,住所記載なし; 開催日記載なし
16,発酵・醸造,酒造資料館 東光の酒蔵,,?,?,?,?,住所記載なし; 開催日記載なし
17,発酵・醸造,株式会社 花角味噌醸造,大町1-2-23,○,○,○,○,
18,発酵・醸造,株式会社 平山孫兵衛商店,大町2丁目2-22,-,○,○,-,
19,発酵・醸造,株式会社 ゆきんこ,,?,?,?,?,住所記載なし; 開催日記載なし
20,食品,有限会社 新杵屋,東3-1-1,○,○,○,○,記載「9/13(木) 9/16(日) / 9/14(金) 9/15(土)」は日付と曜日が不一致—曜日基準で4日全日として採用、要確認
21,食品,株式会社 米澤佐藤畜産,大字竹井425,○,-,-,-,
22,木工,株式会社 アイタ工業,花沢町2845,-,○,○,-,
23,木工,株式会社 ニューテックシンセイ,大字花沢3075-1,-,○,○,-,
24,木工,アルス株式会社,八幡原2丁目444番地の7,-,○,○,-,
25,印刷,株式会社 カワサキ印刷,松が岬2-3-17,○,○,-,-,
26,印刷,株式会社 川島印刷,大字花沢221-2,-,○,○,-,
27,工業,株式会社 井上精工,窪田町窪田1073-2,○,○,-,-,
28,工業,株式会社 栄進鈑金製作所,大字川井491-7,○,○,○,-,日付不明・曜日から推定
29,工業,三木ベルテック株式会社,泉町 2-2-2819,○,○,-,-,
30,工業,三井屋工業株式会社,八幡原三丁目446番12,○,○,-,-,
31,工業,マクセルフロンティア株式会社,花沢3091-6,○,○,-,-,
