連番,団体名,公式HP_URL,Instagram_URL,Facebook_URL,その他SNS_URL,備考
1,株式会社 安部吉,,,,,シート内WEB欄空欄。独自公式HP未確認（米沢市企業紹介ページ http://yonezawanet.jp/abekichi/ 参照）— 要確認
2,粟野商事株式会社 / JUYOUKAN,,,,,シート内WEB欄空欄。粟野商事公式 https://kiorien.jp/ の可能性あり — 要確認
3,株式会社キハラ,,,,,シート内ブロック内容なし(初参加扱い)。独自公式HP未確認（米沢市企業紹介 http://yonezawanet.jp/kihara/ ） — 要確認
4,近賢織物有限会社,http://konken-orimono.jp,,,,
5,株式会社シルキーリビング,https://silky-living.co.jp/,https://www.instagram.com/curtainhome21/,,https://page.line.me/603lgaws,LINE公式あり
6,染織工房わくわく舘／齋英織物,https://www.wakuwakukan.co.jp/,https://www.instagram.com/wakuwakukan0268,,,
7,東北整練株式会社,https://www.tohoku-seiren.co.jp/,,,,シート内空欄、Web検索で公式HP確認
8,行方織物有限会社,https://namikatatextile.com,https://www.instagram.com/namikatatex,,,
9,株式会社パルコモード,https://www.parcomode.com/,,,,シート内空欄、Web検索で公式HP確認
10,株式会社 nitorito,https://nitorito.com/,,,,シート内空欄、Web検索で公式HP確認
11,山口織物鷹山堂有限会社,https://yamakuchi.co.jp/,,,,シート内空欄、Web検索で公式HP確認。EC: http://yozando.jp/
12,米沢織物直売所おりじん,,,https://www.facebook.com/yoneori.origin/,,シート内WEB欄空欄。FacebookのみあるためSNS優先表示推奨
13,よねざわ新田（株式会社 新田）,https://nitta-yonezawa.com/,,,,
14,香坂酒造株式会社,,,,,シート内WEB欄空欄 — 要確認
15,株式会社小嶋総本店,https://www.sake-toko.co.jp/,,,,シート内空欄、Web検索で公式HP確認（東光ブランド）
16,酒造資料館 東光の酒蔵,https://www.sake-toko.co.jp/,,,,小嶋総本店と同URL（同上）
17,株式会社 花角味噌醸造,https://kakurikimiso.com/,https://www.instagram.com/kakuriki_miso,,,
18,株式会社 平山孫兵衛商店,https://shop.hirayama-magobee.com/,,,,
19,株式会社 ゆきんこ,https://yukinco.jp/,,,,シート内空欄、Web検索で公式HP確認
20,有限会社 新杵屋,,,,,シート内WEB欄に「新杵屋【米沢の美味しい駅弁と山形の名産品】」とだけ記載でURL記載なし — 要確認
21,株式会社 米澤佐藤畜産,http://www.beko.co.jp,https://www.instagram.com/satochikusan1129/?hl=ja,,,
22,株式会社 アイタ工業,https://www.aita-kouyouju.com/,https://www.instagram.com/aitakogyo/,,,
23,株式会社 ニューテックシンセイ,https://nt-shinsei.com/,https://www.instagram.com/mokulock_jp/,,,もくロックブランド: https://mokulock.com/
24,アルス株式会社,https://yumemado.com/,https://www.instagram.com/ars_yumemado/,,,
25,株式会社 カワサキ印刷,https://www.kawasaki-print.com/,https://www.instagram.com/wakwaklabo/,https://www.facebook.com/profile.php?id=100081980143284,,ワクワクラボSNS
26,株式会社 川島印刷,https://kawa-prt.com/,https://www.instagram.com/kokoroikidesign/,https://www.facebook.com/kawa.prt,,心意気デザイン: https://kokoroiki.design/ ／別Instagram: https://www.instagram.com/kawashima.prt/
27,株式会社 井上精工,https://inoueseiko.co.jp,,,,
28,株式会社 栄進鈑金製作所,https://eishin-bankin.co.jp/,https://www.instagram.com/eishinbankin/,,https://x.com/Eishin_Bankin,プロモ: https://box-metal.com/ ／社内ベンチャー: https://eb-laser.com/ ／X(営業): https://x.com/kyoutai_seisaku
29,三木ベルテック株式会社,https://www.mikipulley.co.jp/JP/Beltec/index.html,,,,
30,三井屋工業株式会社,https://mitsuiya.jp/,https://www.instagram.com/mitsuiya_soumu/,,,
31,マクセルフロンティア株式会社,https://www.frontier.maxell.co.jp,,,,
